,heuristic,board,correlation,sample_number
591,non-linear,10_easy_pruned,0.394498573,11
592,non-linear,10_hard_full,0.50401691,11
593,non-linear,10_hard_pruned,0.364394907,11
594,non-linear,10_medium_full,0.468450513,11
595,non-linear,10_medium_pruned,0.178595548,11
596,non-linear,6_easy_full,0.853934141,11
597,non-linear,6_easy_pruned,0.546001778,11
598,non-linear,6_hard_full,0.516757978,11
599,non-linear,6_hard_pruned,0.66549671,11
600,blocking,10_easy_full,0.711637057,12
601,blocking,10_easy_pruned,0.633127137,12
602,blocking,10_hard_full,0.595454409,12
603,blocking,10_hard_pruned,0.535947641,12
604,blocking,10_medium_full,0.312528094,12
605,blocking,10_medium_pruned,0.452811264,12
606,blocking,6_easy_full,0.852040735,12
607,blocking,6_easy_pruned,0.598384863,12
608,blocking,6_hard_full,0.626201304,12
609,blocking,6_hard_pruned,0.621193381,12
610,density,10_easy_full,0.195393288,12
611,density,10_easy_pruned,0.353287902,12
612,density,10_hard_full,0.328032475,12
613,density,10_hard_pruned,0.400998745,12
614,density,10_medium_full,0.021158952,12
615,density,10_medium_pruned,0.236240569,12
616,density,6_easy_full,0.519033089,12
617,density,6_easy_pruned,0.333198227,12
618,density,6_hard_full,0.637420854,12
619,density,6_hard_pruned,0.375559569,12
620,interaction,10_easy_full,0.533777824,12
621,interaction,10_easy_pruned,0.613266133,12
622,interaction,10_hard_full,0.57303437,12
623,interaction,10_hard_pruned,0.496929584,12
624,interaction,10_medium_full,0.424929734,12
625,interaction,10_medium_pruned,0.410785757,12
626,interaction,6_easy_full,0.903282805,12
627,interaction,6_easy_pruned,0.541753922,12
628,interaction,6_hard_full,0.549737183,12
629,interaction,6_hard_pruned,0.583821219,12
630,linear,10_easy_full,0.431354592,12
631,linear,10_easy_pruned,0.446228488,12
632,linear,10_hard_full,0.451541772,12
633,linear,10_hard_pruned,0.605259748,12
634,linear,10_medium_full,0.214674954,12
635,linear,10_medium_pruned,0.297020311,12
636,linear,6_easy_full,0.736850689,12
637,linear,6_easy_pruned,0.683246221,12
638,linear,6_hard_full,0.249824121,12
639,linear,6_hard_pruned,0.558727404,12
640,non-linear,10_easy_full,0.469599235,12
641,non-linear,10_easy_pruned,0.560254687,12
